German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
die Reservierung -en,ডি রেজার্ভিরুং,সংরক্ষণ/বুকিং,reservation,Haben Sie eine Reservierung?
die Bestätigung -en,ডি বেশটেটিগুং,নিশ্চিতকরণ,confirmation,Ich warte auf die Bestätigung.
notieren (hat notiert),নোটিরেন,লিখে রাখা/নোট করা,to note down,Bitte notieren Sie die Nummer.
online,অনলাইন,অনলাইনে,online,Ich kaufe online ein.
schwierig,শভিরিশ,কঠিন,difficult,Die Aufgabe ist schwierig.
die Besprechung -en,ডি বেশপ্রেশুং,সভা/মিটিং,meeting/discussion,Die Besprechung ist um zehn Uhr.
nämlich,নেমলিশ,কারণ/যথা,namely/because,Ich kann nicht kommen nämlich bin ich krank.
freundlich,ফ্রয়ন্ডলিশ,বন্ধুত্বপূর্ণ/মিশুক,friendly,Die Leute hier sind sehr freundlich.
klug,ক্লুক,বুদ্ধিমান/চালাক,smart/clever,Das Kind ist sehr klug.
der Fehler -,ডার ফেলার,ভুল/ত্রুটি,mistake/error,Jeder macht mal einen Fehler.
wenn,ভেন,যদি/যখন,if/when,Wenn es regnet bleibe ich zu Hause.
sicher,জিশার,নিশ্চিত/নিরাপদ,sure/safe,Bist du sicher?
das Material (Materialien),ডাস মাটেরিয়াল,উপকরণ/সামগ্রী,material,Wir brauchen neues Material.
der Teilnehmer - / die Teilnehmerin -nen,ডার টাইলনেমার / ডি টাইলনেমারিন,অংশগ্রহণকারী,participant,Wie viele Teilnehmer sind da?
der Tipp -s,ডার টিপ,পরামর্শ/টিপস,tip/advice,Hast du einen Tipp für mich?
regelmäßig,রেগেলমেসিশ,নিয়মিত,regularly,Ich treibe regelmäßig Sport.
