German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
unbekannt,উনবেকান্ট,অজানা,unknown,,Der Anrufer war unbekannt.
(sich) vorbereiten (hat vorbereitet),ফোরবেরাইটেন,প্রস্তুতি নেওয়া,to prepare,hat vorbereitet,Wir bereiten uns auf die Prüfung vor.
basteln (hat gebastelt),বাস্টেলন,হস্তশিল্প করা,to do crafts,hat gebastelt,Die Kinder basteln gern.
entscheiden (hat entschieden),এন্টশাইডেন,সিদ্ধান্ত নেওয়া,to decide,hat entschieden,Ich habe mich entschieden.
schenken (hat geschenkt),শেঙ্কেন,উপহার দেওয়া,to give as a gift,hat geschenkt,Was schenkst du ihr?
das Baby -s,ডাস বেবি,শিশু,baby,,Das Baby schläft.
die Kette -n,ডি কেটে,চেইন/হার,chain/necklace,,Die Kette ist aus Gold.
raten (du rätst / hat geraten),রাটেন,অনুমান করা/পরামর্শ দেওয়া,to guess/advise,hat geraten,Ich rate dir Vorsicht.
die Puppe -n,ডি পুপ্পে,পুতুল,doll,,Das Kind spielt mit der Puppe.
die DVD -s,ডি ডিভিডি,DVD,DVD,,Ich kaufe eine DVD.
das Parfüm -e,ডাস পারফ্যুম,সুগন্ধি,perfume,,Das Parfüm riecht gut.
die Creme -s,ডি ক্রেমে,ক্রিম,cream,,Die Creme ist mild.
der Geldbeutel -,ডার গেল্টবয়টেল,মানিব্যাগ,wallet/purse,,Mein Geldbeutel ist weg.
probieren (hat probiert),প্রোবিরেন,চেষ্টা/স্বাদ নেওয়া,to try/taste,hat probiert,Probier mal!
die Nudel -n,ডি নুডেল,নুডলস,noodles,,Nudeln koche ich oft.
das Gericht -e,ডাস গেরিখট,খাবারের পদ/dish,dish/court,,Das Gericht schmeckt gut.
liefern (hat geliefert),লিফার্ন,সরবরাহ করা,to deliver,hat geliefert,Sie liefern bis zur Tür.
zuverlässig,ৎসুফেরলেসিখ,নির্ভরযোগ্য,reliable,,Er ist sehr zuverlässig.
nennen (hat genannt),নেনেন,নাম দেওয়া,to name/call,hat genannt,Wie nennt man das?
